Pl.,Plate,Nation,Name,Team,PDS Licence,Split 1,Split 2,Split 3,Split 4,Time,Gap
1,3,,ASA VERMETTE,Frameworks Racing / 5DEV,PDS00003,0:17.509,0:59.867,1:26.377,1:40.245,1:51.706,
2,5,,LUCA SHAW,Canyon CLLCTV Factory Team,PDS00043,0:17.602,0:59.537,1:26.654,1:40.716,1:52.145,+0.439
3,2,,RYAN PINKERTON,Mondraker Factory Racing,PDS00040,0:17.633,0:59.766,1:26.792,1:40.760,1:52.319,+0.613
4,6,,TYLER WAITE,Yeti Fox Factory,PDS01040,0:17.610,0:59.888,1:27.123,1:40.936,1:52.404,+0.698
5,7,,AARON GWIN,Gwin Racing,PDS00780,0:18.080,1:00.635,1:27.739,1:41.984,1:53.967,+2.261
6,64,,JONTY WILLIAMSON,Yeti Fox Factory,PDS01176,0:17.991,1:01.421,1:28.317,1:42.363,1:54.457,+2.751
7,8,,ANTOINE PIERRON,Commencal Schwalbe by les Orres,PDS01154,0:17.867,1:01.301,1:28.616,1:42.854,1:54.661,+2.955
8,9,,RICHARD RUDE,Yeti Fox Factory,PDS00041,0:17.645,1:01.163,1:28.759,1:43.108,1:54.755,+3.049
9,13,,CHRISTOPHER GRICE,Gen-S,PDS00016,0:18.000,1:01.673,1:29.192,1:43.702,1:55.353,+3.647
10,26,,JAKE POLITO,,PDS00849,0:17.936,1:01.661,1:29.118,1:43.428,1:55.468,+3.762
11,1,,DANTE SILVA,Intense/Monster Army,PDS00045,0:17.762,1:01.727,1:29.527,1:43.959,1:55.591,+3.885
12,15,,EVAN MEDCALF,CommencalUSA/Bikeworks/TLD/100%/Maxxis/Crankbrothers/SRAM/DEITY/MTX,PDS00029,0:18.500,1:02.512,1:30.153,1:44.493,1:56.047,+4.341
13,31,,NATHAN KITCHEN,Intense Racing USA/Monster Army,PDS00069,0:17.757,1:01.537,1:29.384,1:43.836,1:56.188,+4.482
14,21,,ELLIOT JAMIESON,"Commencal, 7Mesh, Shimano, Maxxis, Fox Suspension",PDS01137,0:18.016,1:02.187,1:29.845,1:44.554,1:56.269,+4.563
15,100,,BENJAMIN DE VALL,FUTURE FRAMEWORKS,PDS00112,0:18.313,1:02.754,1:30.917,1:44.991,1:56.617,+4.911
16,57,,COLE SUETOS,Insta360 ZFR,PDS00048,0:18.424,1:02.848,1:30.731,1:45.122,1:56.699,+4.993
17,18,,TEGAN CRUZ,UR Team,PDS01014,0:18.277,1:02.114,1:30.246,1:44.881,1:56.777,+5.071
18,23,,TYLER ERVIN,"Frameworks,SR Suntour,100percent, RevGrips,  , Crankbrothers, Maxxis, Trp, Fluid Focus",PDS00012,0:17.931,1:02.181,1:30.811,1:45.187,1:56.792,+5.086
19,69,,NEKO MULALLY,Frameworks Racing / 5DEV,PDS00002,0:17.961,1:02.191,1:30.406,1:45.060,1:56.882,+5.176
20,29,,CONNOR CASLER,,PDS00077,0:18.211,1:03.018,1:31.244,1:45.630,1:57.078,+5.372
