Pl.,Bib,Noc,Name,PDS Licence,Split 1,Split 2,Split 3,Split 4,Time,Gap
1,3,USA,Asa VERMETTE,PDS00003,0:20.844,1:02.687,1:27.391,1:42.020,1:53.025,
2,5,USA,Luca SHAW,PDS00043,0:20.276,1:02.779,1:27.916,1:42.588,1:53.545,+0.520
3,8,USA,Alden PATE,PDS00038,0:21.118,1:03.481,1:28.849,1:43.611,1:54.390,+1.365
4,57,USA,Cole SUETOS,PDS00048,0:21.262,1:04.263,1:28.963,1:43.330,1:54.545,+1.520
5,9,USA,Evan MEDCALF,PDS00029,0:20.695,1:03.294,1:28.730,1:43.623,1:54.833,+1.808
6,10,CAN,Tegan CRUZ,PDS01014,0:21.063,1:04.239,1:29.153,1:43.768,1:54.983,+1.958
7,100,USA,Luke MALLEN,PDS00180,0:20.542,1:03.563,1:28.925,1:43.746,1:55.003,+1.978
8,6,USA,Richie RUDE JR,PDS00041,0:20.725,1:03.264,1:28.526,1:43.492,1:55.020,+1.995
9,31,CAN,Kasper WOOLLEY,PDS01059,0:20.801,1:03.491,1:28.630,1:43.869,1:55.038,+2.013
10,25,CAN,Jake POLITO,PDS00849,0:21.477,1:03.905,1:29.665,1:44.000,1:55.116,+2.091
11,45,USA,Andrew DRISCOLL,PDS00010,0:21.102,1:03.752,1:29.166,1:44.516,1:55.298,+2.273
12,17,CAN,Bodhi KUHN,PDS01624,0:21.575,1:04.703,1:29.627,1:44.450,1:55.340,+2.315
13,26,USA,Nathan KITCHEN,PDS00069,0:21.275,1:04.214,1:29.308,1:44.471,1:55.558,+2.533
14,21,CAN,Michael DELESALLE,PDS00844,0:21.478,1:04.811,1:29.664,1:44.343,1:55.716,+2.691
15,13,USA,Bode BURKE,PDS01097,0:20.638,1:04.009,1:29.150,1:44.241,1:55.737,+2.712
16,43,USA,Christopher GRICE,PDS00016,0:21.217,1:05.331,1:30.156,1:45.166,1:55.795,+2.770
17,12,CAN,Johnathan HELLY,PDS01085,0:20.766,1:04.061,1:29.461,1:44.588,1:55.992,+2.967
18,2,USA,Ryan PINKERTON,PDS00040,0:24.118,1:05.624,1:30.183,1:44.928,1:56.064,+3.039
19,76,NZL,Tyler WAITE,PDS01040,0:21.666,1:04.702,1:30.145,1:45.116,1:56.144,+3.119
20,22,USA,Dante SILVA,PDS00045,0:21.156,1:05.273,1:30.537,1:45.322,1:56.237,+3.212
21,4,USA,Austin DOOLEY,PDS00009,0:21.059,1:04.891,1:30.445,1:45.391,1:56.286,+3.261
22,102,USA,Kai BURLESON,PDS00159,0:21.730,1:05.388,1:30.848,1:45.437,1:56.520,+3.495
23,39,USA,Aiden CHAPIN,PDS00598,0:21.498,1:04.890,1:30.464,1:45.235,1:56.591,+3.566
24,18,USA,Ryder LAWRENCE,PDS00131,0:21.164,1:04.743,1:30.804,1:45.290,1:56.635,+3.610
25,48,USA,Connor CASLER,PDS00077,0:21.205,1:05.272,1:30.798,1:45.663,1:56.662,+3.637
26,78,CAN,Anthony SHELLY,PDS00851,0:21.274,1:05.496,1:30.783,1:45.665,1:57.000,+3.975
27,46,USA,Colin MCELYEA,PDS00068,0:21.505,1:05.273,1:31.101,1:46.275,1:57.153,+4.128
28,117,USA,Tyler WAGONER,PDS01170,0:21.625,1:04.923,1:31.157,1:46.445,1:57.234,+4.209
29,75,USA,Jt FISHER,PDS01538,0:21.280,1:04.902,1:30.429,1:45.855,1:57.261,+4.236
30,49,USA,Jagger BUCY,PDS00092,0:21.195,1:05.091,1:30.623,1:45.925,1:57.412,+4.387
31,15,CAN,Benny DE VALL,PDS00112,0:22.001,1:06.448,1:32.285,1:46.959,1:57.825,+4.800
32,30,USA,Drake PARKER,PDS00413,0:22.328,1:06.371,1:32.219,1:46.982,1:57.889,+4.864
33,104,USA,Slade GAINEY,PDS00165,0:21.554,1:05.528,1:31.580,1:46.668,1:57.928,+4.903
34,112,USA,Christopher LIEBIG,PDS00177,0:21.462,1:05.235,1:31.288,1:46.756,1:58.111,+5.086
