Pl.,Bib,Noc,Name,Split 1,Split 2,Split 3,Split 4,Time,Gap,Speed
1,23,USA,Austin Dooley,0:31.572,0:55.621,1:28.940,2:00.890,2:29.171,,
2,34,USA,Cole Suetos,0:32.498,0:56.831,1:29.581,2:01.459,2:29.175,+0.004,
3,4,CAN,Mikey Delesalle,0:31.848,0:56.462,1:29.413,2:01.278,2:29.260,+0.089,
4,3,USA,Dylan Maples,0:32.034,0:56.558,1:29.235,2:01.186,2:29.515,+0.344,
5,15,USA,Lucas DeDora,0:32.117,0:56.529,1:30.069,2:01.938,2:30.366,+1.195,
6,17,USA,Alden Pate,0:31.766,0:55.766,1:29.950,2:01.867,2:30.781,+1.610,
7,48,USA,Kai Burleson,0:32.214,0:56.976,1:30.509,2:02.710,2:30.943,+1.772,
8,57,CAN,Kasper woolley,0:32.829,0:56.977,1:30.702,2:02.385,2:31.156,+1.985,
9,16,USA,Ryder Lawrence,0:32.453,0:56.351,1:30.715,2:03.077,2:31.248,+2.077,
10,6,NZL,Oli Clark,0:32.546,0:56.982,1:30.828,2:02.707,2:31.543,+2.372,
11,32,USA,Nate Kitchen,0:32.493,0:57.053,1:31.092,2:03.525,2:31.883,+2.712,
12,21,GBR,Oscar Griffiths,0:33.045,0:58.049,1:32.044,2:03.444,2:32.230,+3.059,
13,35,USA,Drake Parker,0:32.812,0:57.221,1:31.096,2:03.412,2:32.261,+3.090,
14,47,USA,Aiden Chapin,0:32.782,0:57.188,1:31.302,2:05.222,2:32.367,+3.196,
15,127,USA,Luke Mallen,0:31.828,0:55.828,1:30.626,2:02.985,2:32.397,+3.226,
16,9,USA,Evan Medcalf,0:31.952,0:57.765,1:31.460,2:03.667,2:32.822,+3.651,
17,65,USA,Nikolas Nestoroff,0:32.918,0:58.133,1:32.438,2:04.543,2:33.022,+3.851,
18,11,CAN,Johnathan Helly,0:33.146,0:57.492,1:31.455,2:04.413,2:33.362,+4.191,
19,26,NZL,Camden Rutherfurd,0:32.066,0:57.489,1:31.992,2:04.707,2:33.414,+4.243,
20,18,USA,Tyler Ervin,0:32.593,0:57.617,1:31.916,2:04.781,2:33.484,+4.313,
21,19,USA,Braedyn Davis,0:33.621,0:58.749,1:32.688,2:05.394,2:34.298,+5.127,
22,58,USA,Andrew Driscoll,0:32.867,0:57.798,1:32.598,2:05.930,2:34.360,+5.189,
23,2,USA,Ryan Pinkerton,0:30.935,0:54.665,1:26.844,2:06.884,2:35.040,+5.869,
24,22,USA,Colin McElyea,0:32.668,0:57.676,1:32.069,2:05.583,2:35.522,+6.351,
25,29,CAN,Landon de Vall,0:32.772,0:59.065,1:33.870,2:06.943,2:36.220,+7.049,
26,37,USA,Neko Mulally,0:33.488,0:58.610,1:33.811,2:07.669,2:36.373,+7.202,
27,20,CAN,Anthony Shelly,0:32.517,0:57.838,1:32.623,2:06.646,2:36.411,+7.240,
28,24,CAN,Elliot Jamieson,0:33.163,0:57.991,1:33.055,2:07.296,2:36.826,+7.655,
29,55,USA,McLure Bailey,0:32.750,0:57.819,1:34.524,2:07.975,2:37.012,+7.841,
30,50,USA,Luca Cometti,0:33.410,0:59.139,1:34.263,2:08.438,2:37.178,+8.007,
31,14,CAN,Benjamin de Vall,0:33.964,0:58.298,1:34.450,2:08.137,2:37.324,+8.153,
32,56,USA,Connor Casler,0:33.477,0:59.523,1:34.833,2:08.410,2:37.482,+8.311,
33,40,USA,Fred LaRiviere,0:34.029,0:59.218,1:34.217,2:07.811,2:37.836,+8.665,
34,79,USA,Kahlil Kem,0:33.411,0:59.169,1:34.762,2:08.430,2:38.592,+9.421,
35,53,USA,Jordan Bouldin,0:32.921,0:59.480,1:34.581,2:38.879,2:38.879,+9.708,
36,38,CAN,Loick Hudon,0:34.194,1:01.871,1:36.770,2:10.749,2:39.643,+10.472,
37,44,CAN,Alexis Gagne,0:33.822,0:59.309,1:35.650,2:09.949,2:39.814,+10.643,
38,61,USA,Matt Mitchko,0:32.698,0:59.405,1:35.351,2:09.940,2:39.891,+10.720,
39,43,CAN,Nathan Sterckx,0:34.739,1:01.110,1:36.490,2:10.154,2:40.153,+10.982,
40,76,USA,Austin Haessly,0:33.492,0:58.830,1:35.019,2:09.845,2:40.461,+11.290,
41,42,USA,Max Abrams,0:33.792,0:59.421,1:35.778,2:11.138,2:40.677,+11.506,
42,81,USA,Maxwell Brown,0:33.682,0:59.927,1:36.774,2:11.680,2:41.263,+12.092,
43,75,USA,Dylan Conte,0:34.864,1:00.970,1:37.299,2:11.474,2:41.326,+12.155,
44,60,MEX,Guillermo Tovar,0:34.076,1:00.812,1:36.979,2:11.352,2:41.537,+12.366,
45,66,USA,Walker Cottingham,0:33.286,1:00.286,1:35.515,2:09.578,2:41.633,+12.462,
