Pl.,Bib,Noc,Name,Split 1,Split 2,Split 3,Split 4,Time,Gap
1,7,USA,Aaron Gwin,0:31.943,0:55.603,1:27.771,1:59.422,2:27.143,
2,1,USA,Luca Shaw,0:30.986,0:54.974,1:28.003,2:00.062,2:27.701,+0.558
3,3,USA,Dylan Maples,0:31.777,0:55.944,1:28.686,2:00.632,2:29.107,+1.964
4,34,USA,Cole Suetos,0:32.876,0:57.030,1:30.269,2:02.058,2:29.823,+2.680
5,13,USA,Dante Silva,0:32.178,0:56.455,1:29.821,2:02.313,2:30.379,+3.236
6,4,CAN,Mikey Delesalle,0:32.325,0:56.823,1:30.599,2:02.908,2:31.041,+3.898
7,2,USA,Ryan Pinkerton,0:31.796,0:55.419,1:28.059,1:59.558,2:31.248,+4.105
8,16,USA,Ryder Lawrence,0:31.800,0:55.919,1:30.043,2:03.355,2:31.718,+4.575
9,32,USA,Nate Kitchen,0:31.632,0:55.611,1:29.721,2:03.233,2:31.859,+4.716
10,23,USA,Austin Dooley,0:32.306,0:56.811,1:30.979,2:03.511,2:31.873,+4.730
11,27,USA,Christopher Grice,0:31.891,0:56.430,1:30.740,2:03.675,2:32.063,+4.920
12,48,USA,Kai Burleson,0:32.294,0:58.144,1:32.200,2:04.212,2:32.092,+4.949
13,8,IRL,Ronan Dunne,0:32.196,0:56.374,1:30.120,2:02.728,2:32.126,+4.983
14,12,USA,Bode Burke,0:32.679,0:57.161,1:31.633,2:03.683,2:32.390,+5.247
15,9,USA,Evan Medcalf,0:33.225,0:58.157,1:31.768,2:04.136,2:33.053,+5.910
16,127,USA,Luke Mallen,0:31.565,0:56.340,1:31.206,2:03.959,2:33.282,+6.139
17,28,CAN,Jake Polito,0:33.388,0:58.067,1:31.572,2:04.159,2:33.291,+6.148
18,17,USA,Alden Pate,0:32.719,0:56.912,1:31.553,2:04.710,2:33.356,+6.213
19,11,CAN,Johnathan Helly,0:33.454,0:58.038,1:31.629,2:04.540,2:33.402,+6.259
20,47,USA,Aiden Chapin,0:33.091,0:58.215,1:32.356,2:05.268,2:33.775,+6.632
21,22,USA,Colin McElyea,0:32.925,0:57.811,1:32.057,2:05.220,2:34.129,+6.986
22,57,CAN,Kasper woolley,0:31.828,0:55.957,1:29.853,2:04.896,2:34.261,+7.118
23,10,USA,Tegan Cruz,0:33.390,0:57.776,1:32.334,2:05.239,2:34.311,+7.168
24,6,NZL,Oli Clark,0:32.888,0:58.181,1:32.963,2:05.386,2:34.355,+7.212
25,18,USA,Tyler Ervin,0:33.270,0:57.929,1:32.343,2:05.892,2:34.407,+7.264
26,15,USA,Lucas DeDora,0:33.084,0:58.053,1:32.677,2:05.625,2:34.436,+7.293
27,65,USA,Nikolas Nestoroff,0:32.657,0:57.953,1:33.154,2:06.033,2:34.464,+7.321
28,21,GBR,Oscar Griffiths,0:33.225,0:57.979,1:32.928,2:05.566,2:34.610,+7.467
29,58,USA,Andrew Driscoll,0:32.773,0:57.585,1:32.907,2:06.211,2:35.002,+7.859
30,73,USA,William Arbogast,0:33.765,0:58.654,1:33.588,2:05.980,2:35.235,+8.092
31,26,NZL,Camden Rutherfurd,0:33.495,0:58.070,1:32.919,2:06.927,2:35.360,+8.217
32,69,CAN,Ryan Griffith,0:32.576,0:57.592,1:32.634,2:06.484,2:35.639,+8.496
33,19,USA,Braedyn Davis,0:32.747,0:58.233,1:33.632,2:07.321,2:36.315,+9.172
34,128,USA,Alex Mallen,0:32.845,0:57.955,1:34.058,2:07.273,2:36.551,+9.408
35,31,USA,Sam Hawkinberry,0:33.122,0:58.575,1:34.187,2:07.733,2:36.567,+9.424
36,20,CAN,Anthony Shelly,0:32.422,0:57.826,1:32.733,2:06.985,2:36.719,+9.576
37,45,USA,Charlie Golwyn,0:33.515,0:59.014,1:34.414,2:07.816,2:36.937,+9.794
38,55,USA,McLure Bailey,0:32.868,0:58.905,1:34.940,2:08.595,2:37.769,+10.626
39,29,CAN,Landon de Vall,0:33.768,1:00.097,1:35.084,2:08.270,2:38.076,+10.933
40,39,USA,Jagger Bucy,0:34.194,0:59.327,1:34.333,2:08.427,2:38.141,+10.998
41,24,CAN,Elliot Jamieson,0:33.267,0:58.454,1:34.194,2:08.866,2:38.161,+11.018
