Pl.,Bib,Noc,Name,Split 1,Split 2,Split 3,Split 4,Time,Gap
1,100,USA,Aletha Ostgaard,0:34.529,1:00.806,1:36.741,2:11.800,2:42.288,
2,122,USA,Anna Newkirk,0:34.592,1:02.596,1:40.184,2:16.390,2:47.337,+5.049
3,108,USA,Kailey Skelton,0:36.229,1:04.233,1:42.499,2:18.636,2:49.653,+7.365
4,120,USA,Raina Logar,0:36.782,1:05.196,1:43.610,2:21.646,2:53.763,+11.475
5,105,USA,Taylor Ostgaard,0:36.551,1:05.649,1:46.214,2:23.510,2:54.093,+11.805
6,101,USA,Zanna Logar,0:36.438,1:05.712,1:44.860,2:23.244,2:56.443,+14.155
7,103,USA,Frida Ronning,0:36.377,1:05.522,1:46.032,2:24.520,2:56.793,+14.505
8,110,USA,Ainsley Wolf,0:37.080,1:07.608,1:48.571,2:26.950,2:58.588,+16.300
9,102,CAN,Tayte Proulx Royds,0:37.433,1:07.851,1:48.678,2:27.251,2:59.778,+17.490
10,107,USA,Alyana Van Horn,0:38.724,1:09.382,1:49.540,2:27.845,3:01.315,+19.027
11,119,USA,Jade Savage,0:38.009,1:08.677,1:49.652,2:29.248,3:01.395,+19.107
12,106,USA,Samantha Porras,0:38.408,1:08.791,1:50.576,2:29.539,3:02.427,+20.139
13,104,USA,Maylei Leaneagh,0:38.252,1:08.586,1:50.389,2:30.657,3:03.889,+21.601
14,112,USA,Mary McLarnon,0:38.636,1:10.374,1:51.814,2:31.642,3:03.935,+21.647
15,121,USA,Abby Ronca,0:38.427,1:08.970,1:51.474,2:31.839,3:05.143,+22.855
16,114,CAN,Cameron Bragg,0:37.960,1:09.740,1:52.948,2:32.848,3:05.330,+23.042
17,113,USA,Winter Bush,0:39.744,1:12.215,1:56.025,2:36.154,3:10.359,+28.071
18,109,CAN,Isla O Connor,0:36.874,1:07.184,1:49.052,2:38.165,3:12.108,+29.820
19,123,USA,Adia ANNIBELLA,0:41.543,1:15.519,2:02.868,2:45.544,3:21.542,+39.254
20,118,CAN,Megan Pretorius,0:35.991,1:04.190,1:42.557,5:23.289,5:57.832,+3:15.544
